TE-I-87299375,TE-T-64215521
TE-K-90332362,TE-W-43618040
TE-W-44259720,TE-X-22370642
TE-F-54762024,TE-Q-13038138
TE-X-54930147,TE-K-98892767
TE-D-10137492,TE-M-61785508
TE-Q-13032005,TE-N-39223826
TE-O-11768172,TE-R-12382414
TE-R-62719453,TE-V-41069293
TE-Y-61816172,TE-M-16162620
TE-V-03829401,TE-L-65722061
TE-A-67698830,TE-B-34897978
TE-S-48183967,TE-G-09960728
TE-B-02618103,TE-V-81832890
TE-D-26910743,TE-W-18635305
TE-I-75892387,TE-D-70365367
TE-R-16382984,TE-U-77379444
TE-F-05922881,TE-K-54831429
TE-R-06909008,TE-E-16827981
TE-Q-60703340,TE-P-20230590
TE-C-53086761,TE-M-52658655
TE-G-22584494,TE-V-91738393
TE-P-11360432,TE-V-75028271
TE-S-36281506,TE-H-45646792
TE-U-09241769,TE-K-29791838
TE-S-89686509,TE-B-39932080
TE-P-06130614,TE-X-79326396
TE-J-43448374,TE-L-45313720
TE-K-80114363,TE-L-05377600
TE-S-71969731,TE-X-53556641
TE-W-25014323,TE-B-57179511
TE-U-54753676,TE-H-17610188
TE-K-73037128,TE-A-05668703
TE-K-16643390,TE-E-26982072
TE-V-19162811,TE-B-39932080
TE-O-36478106,TE-N-87318350
TE-P-65414305,TE-E-27614206
TE-J-28468246,TE-J-85380628
TE-C-14368185,TE-F-63799831
TE-V-49519068,TE-Y-61607904
TE-X-03859778,TE-H-80729966
TE-I-40721503,TE-A-66046238
TE-W-67527973,TE-D-67594072
TE-H-64015709,TE-C-53086761
TE-N-84697396,TE-W-90067280
TE-U-85873353,TE-E-80180972
TE-I-87375068,TE-I-71472335
TE-M-47455815,TE-J-78259624
TE-C-82638212,TE-Y-22229797
TE-X-10620881,TE-Q-85009490
TE-R-34196450,TE-P-03627584
TE-O-15056952,TE-W-06261051
TE-K-08773334,TE-C-03203960
TE-C-01214662,TE-R-44638514
TE-O-31228981,TE-W-91868717
TE-T-09265731,TE-P-67042823
TE-J-16095323,TE-N-15930965
TE-H-34418168,TE-X-34989163
TE-O-78195167,TE-B-14421463
TE-X-71344370,TE-M-97152089
TE-V-08777246,TE-A-18302524
TE-W-16091942,TE-T-47658831
TE-R-11118003,TE-E-78974498
TE-Z-15834123,TE-J-45312768
TE-O-99182085,TE-G-21712850
TE-C-02043427,TE-N-07541892
TE-F-63739506,TE-S-01726479
